league_id,name,country,sport,season,slug,raw.league_key,raw.league_name,raw.country_key,raw.country_name,raw.league_logo,raw.country_logo
4,UEFA Europa League,eurocups,,,,4,UEFA Europa League,1,eurocups,https://apiv2.allsportsapi.com/logo/logo_leagues/,
1,UEFA European Championship,eurocups,,,,1,UEFA European Championship,1,eurocups,,
683,UEFA Conference League,eurocups,,,,683,UEFA Conference League,1,eurocups,,
3,UEFA Champions League,eurocups,,,,3,UEFA Champions League,1,eurocups,https://apiv2.allsportsapi.com/logo/logo_leagues/3_uefa_champions_league.png,
633,UEFA Nations League,eurocups,,,,633,UEFA Nations League,1,eurocups,,
28,World Cup,Worldcup,,,,28,World Cup,8,Worldcup,https://apiv2.allsportsapi.com/logo/logo_leagues/28_world-cup.png,https://apiv2.allsportsapi.com/logo/logo_country/8_worldcup.png
152,Premier League,England,,,,152,Premier League,44,England,https://apiv2.allsportsapi.com/logo/logo_leagues/152_premier-league.png,https://apiv2.allsportsapi.com/logo/logo_country/44_england.png
302,La Liga,Spain,,,,302,La Liga,6,Spain,https://apiv2.allsportsapi.com/logo/logo_leagues/302_la-liga.png,https://apiv2.allsportsapi.com/logo/logo_country/6_spain.png
207,Serie A,Italy,,,,207,Serie A,5,Italy,https://apiv2.allsportsapi.com/logo/logo_leagues/207_serie-a.png,https://apiv2.allsportsapi.com/logo/logo_country/5_italy.png
175,Bundesliga,Germany,,,,175,Bundesliga,4,Germany,https://apiv2.allsportsapi.com/logo/logo_leagues/175_bundesliga.png,https://apiv2.allsportsapi.com/logo/logo_country/4_germany.png
168,Ligue 1,France,,,,168,Ligue 1,3,France,https://apiv2.allsportsapi.com/logo/logo_leagues/168_ligue-1.png,https://apiv2.allsportsapi.com/logo/logo_country/3_france.png
266,Primeira Liga,Portugal,,,,266,Primeira Liga,92,Portugal,https://apiv2.allsportsapi.com/logo/logo_leagues/266_primeira-liga.png,https://apiv2.allsportsapi.com/logo/logo_country/92_portugal.png
63,First Division A,Belgium,,,,63,First Division A,23,Belgium,https://apiv2.allsportsapi.com/logo/logo_leagues/63_first-division-a.png,https://apiv2.allsportsapi.com/logo/logo_country/23_belgium.png
244,Eredivisie,Netherlands,,,,244,Eredivisie,82,Netherlands,https://apiv2.allsportsapi.com/logo/logo_leagues/244_eredivisie.png,https://apiv2.allsportsapi.com/logo/logo_country/82_netherlands.png
332,MLS,USA,,,,332,MLS,114,USA,https://apiv2.allsportsapi.com/logo/logo_leagues/332_mls.png,https://apiv2.allsportsapi.com/logo/logo_country/114_usa.png
322,Süper Lig,Turkey,,,,322,Süper Lig,111,Turkey,https://apiv2.allsportsapi.com/logo/logo_leagues/322_süper-lig.png,https://apiv2.allsportsapi.com/logo/logo_country/111_turkey.png
235,Liga MX,Mexico,,,,235,Liga MX,78,Mexico,https://apiv2.allsportsapi.com/logo/logo_leagues/235_liga-mx.png,https://apiv2.allsportsapi.com/logo/logo_country/78_mexico.png
279,Premiership,Scotland,,,,279,Premiership,98,Scotland,https://apiv2.allsportsapi.com/logo/logo_leagues/279_premiership.png,https://apiv2.allsportsapi.com/logo/logo_country/98_scotland.png
135,Superliga,Denmark,,,,135,Superliga,40,Denmark,https://apiv2.allsportsapi.com/logo/logo_leagues/135_superliga.png,https://apiv2.allsportsapi.com/logo/logo_country/40_denmark.png
308,Super League,Switzerland,,,,308,Super League,106,Switzerland,https://apiv2.allsportsapi.com/logo/logo_leagues/308_super-league.png,https://apiv2.allsportsapi.com/logo/logo_country/106_switzerland.png
127,First NL,Croatia,,,,127,First NL,37,Croatia,https://apiv2.allsportsapi.com/logo/logo_leagues/127_2.-hnl.png,https://apiv2.allsportsapi.com/logo/logo_country/37_croatia.png
148,EFL Trophy,England,,,,148,EFL Trophy,44,England,https://apiv2.allsportsapi.com/logo/logo_leagues/148_efl-trophy.png,https://apiv2.allsportsapi.com/logo/logo_country/44_england.png
178,Super League 1,Greece,,,,178,Super League 1,51,Greece,https://apiv2.allsportsapi.com/logo/logo_leagues/178_super-league-1.png,https://apiv2.allsportsapi.com/logo/logo_country/51_greece.png
307,Allsvenskan,Sweden,,,,307,Allsvenskan,7,Sweden,https://apiv2.allsportsapi.com/logo/logo_leagues/307_allsvenskan.png,https://apiv2.allsportsapi.com/logo/logo_country/7_sweden.png
134,Czech Liga,Czech Republic,,,,134,Czech Liga,39,Czech Republic,https://apiv2.allsportsapi.com/logo/logo_leagues/134_czech-liga.png,https://apiv2.allsportsapi.com/logo/logo_country/39_czech-republic.png
130,1. Division,Cyprus,,,,130,1. Division,38,Cyprus,https://apiv2.allsportsapi.com/logo/logo_leagues/130_1.-division.png,https://apiv2.allsportsapi.com/logo/logo_country/38_cyprus.png
288,Super Liga,Serbia,,,,288,Super Liga,99,Serbia,https://apiv2.allsportsapi.com/logo/logo_leagues/288_super-liga.png,https://apiv2.allsportsapi.com/logo/logo_country/99_serbia.png
278,Saudi League,Saudi Arabia,,,,278,Saudi League,97,Saudi Arabia,https://apiv2.allsportsapi.com/logo/logo_leagues/278_pro-league.png,https://apiv2.allsportsapi.com/logo/logo_country/97_saudi-arabia.png
259,Ekstraklasa,Poland,,,,259,Ekstraklasa,91,Poland,https://apiv2.allsportsapi.com/logo/logo_leagues/259_ekstraklasa.png,https://apiv2.allsportsapi.com/logo/logo_country/91_poland.png
118,Chinese Super League,China,,,,118,Chinese Super League,32,China,https://apiv2.allsportsapi.com/logo/logo_leagues/118_csl.png,https://apiv2.allsportsapi.com/logo/logo_country/32_china.png
