league_key,league_name,country_name
4,UEFA Europa League,eurocups
1,UEFA European Championship,eurocups
683,UEFA Conference League,eurocups
3,UEFA Champions League,eurocups
633,UEFA Nations League,eurocups
28,World Cup,Worldcup
152,Premier League,England
302,La Liga,Spain
207,Serie A,Italy
175,Bundesliga,Germany
168,Ligue 1,France
344,Premier League,Russia
266,Primeira Liga,Portugal
63,First Division A,Belgium
244,Eredivisie,Netherlands
332,MLS,USA
322,Süper Lig,Turkey
99,Serie A,Brazil
235,Liga MX,Mexico
279,Premiership,Scotland
56,Bundesliga,Austria
325,Premier League,Ukraine
135,Superliga,Denmark
308,Super League,Switzerland
127,First NL,Croatia
148,EFL Trophy,England
178,Super League 1,Greece
307,Allsvenskan,Sweden
134,Czech Liga,Czech Republic
130,1. Division,Cyprus
288,Super Liga,Serbia
278,Saudi League,Saudi Arabia
259,Ekstraklasa,Poland
118,Chinese Super League,China
120,Primera A,Colombia
202,Ligat Ha'al,Israel
209,J1 League,Japan
253,Eliteserien,Norway
111,First League,Bulgaria
272,Liga I,Romania
269,Stars League,Qatar
171,2. Bundesliga,Germany
293,1. liga,Slovakia
255,Division Profesional,Paraguay
164,Ligue 2,France
301,Segunda División,Spain
191,NB I,Hungary
57,Premyer Liqa,Azerbaijan
214,Premier League,Kazakhstan
206,Serie B,Italy
219,K League 1,Korea Republic
195,Persian Gulf Pro League,Iran
328,Pro League,United Arab Emirates
121,Primera División,Costa Rica
406,LPF,Panama
2,UEFA Women's Champions League,intl
10,AFC Champions League Elite,intl
14,Damallsvenskan,Sweden
15,Concacaf Gold Cup,intl
17,CONMEBOL Copa America,intl
18,CONMEBOL Libertadores,intl
24,UEFA World Cup Qualifiers,Worldcup
27,CONMEBOL World Cup Qualifiers,Worldcup
29,CAF Africa Cup of Nations,intl
44,Liga Profesional Argentina,Argentina
49,A-League Men,Australia
75,Serie B,Brazil
115,Primera División,Chile
145,League Two,England
146,FA Cup,England
147,League Cup,England
153,Championship,England
154,League One,England
165,Coupe de France,France
172,DFB Pokal,Germany
205,Coppa Italia,Italy
243,KNVB Beker,Netherlands
257,Liga 1,Peru
265,Taça de Portugal,Portugal
300,Copa del Rey,Spain
346,CAF Champions League,intl
354,UEFA European Championship Qualifiers,eurocups
372,UEFA Super Cup,eurocups
377,Community Shield,England
383,Super Cup,Spain
385,CONMEBOL Sudamericana,intl
390,CAF Confederation Cup,intl
566,Indian Super League,India
727,AFC Champions League,intl
1194,KNVB Beker,Netherlands
16,FIFA Confederations Cup,intl
19,FIFA Intercontinental Cup,Worldcup
53,2. Liga,Austria
61,Premier League,Belarus
83,Carioca Série A,Brazil
91,Pernambucano 1,Brazil
124,HNL,Croatia
140,Liga Pro,Ecuador
141,Premier League,Egypt
166,Coupe de la Ligue,France
193,I-League,India
194,Liga 1,Indonesia
239,Botola Pro,Morocco
245,Eerste Divisie,Netherlands
260,Cup,Poland
267,Segunda Liga,Portugal
275,Cup,Russia
280,Scottish Cup,Scotland
296,1. SNL,Slovenia
297,PSL,South Africa
314,Thai League 1,Thailand
349,Copa do Brasil,Brazil
476,Taça da Liga,Portugal
515,Copa Argentina,Argentina
5,Concacaf Champions Cup,intl
6,Première Ligue,France
7,Frauen Bundesliga,Germany
8,Serie A Women,Italy
9,AFC Challenge Cup,intl
11,AFC Champions League Two,intl
12,ASEAN Championship,intl
13,Primera División Femenina,Spain
20,FIFA Women's World Cup,World cup
21,CAF World Cup Qualifiers,Worldcup
22,AFC World Cup Qualifiers,Worldcup
23,Concacaf World Cup Qualifiers,Worldcup
25,WC Qualification Intercontinental Play-offs,Worldcup
26,OFC World Cup Qualifiers,Worldcup
30,CAF Super Cup,intl
31,Superliga,Albania
32,1st Division,Albania
33,2nd Division,Albania
34,Ligue 1,Algeria
35,Ligue 2,Algeria
36,2a Divisió,Andorra
37,1a Divisió,Andorra
38,Girabola,Angola
39,Torneo Federal A,Argentina
40,Prim B Metro,Argentina
41,Primera Nacional,Argentina
42,Primera C,Argentina
43,Primera D,Argentina
45,Premier League,Armenia
46,First League,Armenia
47,Division di Honor,Aruba
48,South Australia NPL,Australia
50,New South Wales NPL,Australia
51,Western Australia NPL,Australia
52,Landesliga,Austria
54,Cup,Austria
55,Regionalliga,Austria
58,Birinci Dasta,Azerbaijan
59,Premier League,Bahrain
60,Premier League,Bangladesh
62,1. Division,Belarus
64,Cup,Belgium
65,Challenger Pro League,Belgium
66,Third Amateur Division,Belgium
67,Second Amateur Division,Belgium
68,Premier League,Bermuda
69,Primera División,Bolivia
70,Premijer Liga,Bosnia and Herzegovina
71,1st League,Bosnia and Herzegovina
72,Gaúcho 2,Brazil
73,Piauiense,Brazil
74,Sul-Matogrossense,Brazil
76,Potiguar 1,Brazil
77,Acreano,Brazil
78,Paranaense 2,Brazil
79,Serie C,Brazil
80,Serie D,Brazil
81,Amazonense 1,Brazil
82,Mineiro 1,Brazil
84,Carioca B1,Brazil
85,Sergipano 1,Brazil
86,Paulista A2,Brazil
87,Paraense A,Brazil
88,Goiano 1,Brazil
89,Matogrossense 1,Brazil
90,Tocantinense,Brazil
92,Rondoniense,Brazil
93,Alagoano 1,Brazil
94,Baiano 2,Brazil
95,Baiano 1,Brazil
96,Paulista A3,Brazil
97,Paraibano 1,Brazil
98,Catarinense 1,Brazil
100,Paranaense 1,Brazil
101,Roraimense,Brazil
102,Gaúcho 1,Brazil
103,Maranhense 1,Brazil
104,Cearense 1,Brazil
105,Brasiliense A,Brazil
106,Paulista A1,Brazil
107,Amapaense,Brazil
108,Capixaba A,Brazil
109,Second League,Bulgaria
110,Third League,Bulgaria
112,Elite One,Cameroon
113,Canadian Soccer League,Canada
114,PCSL,Canada
116,Primera B,Chile
117,Chinese Football League 1,China
119,Taiwan Football Premier League,Chinese Taipei
122,Liga de Ascenso,Costa Rica
123,Ligue 1,Ivory Coast
125,Cup,Croatia
126,Third NL,Croatia
128,3. Division,Cyprus
129,2. Division,Cyprus
131,3. liga,Czech Republic
132,4. liga,Czech Republic
133,FNL,Czech Republic
136,2. Division,Denmark
137,Denmark Series,Denmark
138,1. Division,Denmark
139,Liga Pro Serie B,Ecuador
142,Primera Division,El Salvador
143,Non League Div One,England
144,FA Trophy,England
149,Non League Premier,England
150,National League N / S,England
151,National League,England
155,Esiliiga A,Estonia
156,Premium liiga,Estonia
157,Meistaradeildin,Faroe Islands
158,1. Deild,Faroe Islands
159,National Football League,Fiji
160,Kakkonen,Finland
161,Suomen Cup,Finland
162,National 3,France
163,National 2,France
167,National 1,France
169,Erovnuli Liga 2,Georgia
170,Erovnuli Liga,Georgia
173,Regionalliga,Germany
174,Oberliga,Germany
176,3. Liga,Germany
177,Premier League,Ghana
179,Cup,Greece
180,Gamma Ethniki,Greece
181,Football League,Greece
182,Liga Nacional,Guatemala
183,Primera Division,Guatemala
184,Ligue Haïtienne,Haiti
185,Liga Nacional,Honduras
186,Premier League,Hong Kong
187,HKFA 1st Division,Hong Kong
188,NB II,Hungary
189,Magyar Kupa,Hungary
190,NB III,Hungary
192,Besta deild,Iceland
196,Azadegan League,Iran
197,FAI Cup,Ireland
198,First Division,Ireland
199,League Cup,Ireland
200,Premier Division,Ireland
201,Liga Leumit,Israel
203,Toto Cup Ligat Al,Israel
204,Serie D,Italy
208,Premier League,Jamaica
210,J-League Cup,Japan
211,Japan Football League,Japan
212,J2 League,Japan
213,League,Jordan
215,1. Division,Kazakhstan
216,FKF Premier League,Kenya
217,K3 League,Korea Republic
218,K League 2,Korea Republic
220,Premier League,Kuwait
221,Division 1,Kuwait
222,1. Liga,Latvia
223,Virsliga,Latvia
224,Premier League,Lebanon
225,Premier League,Libya
226,1 Lyga,Lithuania
227,A Lyga,Lithuania
228,National Division,Luxembourg
229,Second League,North Macedonia
230,First League,North Macedonia
231,Premier League,Malaysia
232,Super League,Malaysia
233,Challenge League,Malta
234,Premier League,Malta
236,Liga de Expansión MX,Mexico
237,Super Liga,Moldova
238,Liga 1,Moldova
240,Second League,Montenegro
241,Botola 2,Morocco
242,Derde Divisie,Netherlands
246,Premiership,New Zealand
247,Primera Division,Nicaragua
248,NPFL,Nigeria
249,Irish Cup,Northern Ireland
250,Championship,Northern Ireland
251,Premiership,Northern Ireland
252,NM Cupen,Norway
254,Professional League,Oman
256,Division Intermedia,Paraguay
258,Liga 2,Peru
261,II Liga,Poland
262,III Liga,Poland
263,I Liga,Poland
264,Campeonato de Portugal Prio,Portugal
268,Super Cup,Portugal
270,Liga III,Romania
271,Liga II,Romania
273,Second League B,Russia
274,First League,Russia
276,Campionato,San Marino
277,Division 1,Saudi Arabia
281,League Cup,Scotland
282,Championship,Scotland
283,Challenge Cup,Scotland
284,League Two,Scotland
285,League One,Scotland
286,Highland / Lowland,Scotland
287,Prva Liga,Serbia
289,Premier League,Singapore
290,League Cup,Singapore
291,3. liga,Slovakia
292,Cup,Slovakia
294,2. SNL,Slovenia
295,Cup,Slovenia
298,Tercera División RFEF,Spain
299,Primera División RFEF,Spain
303,Sudani Premier League,Sudan
304,Suriname Major League,Surinam
305,Superettan,Sweden
306,Svenska Cupen,Sweden
309,Schweizer Pokal,Switzerland
310,2. Liga Interregional,Switzerland
311,1. Liga Classic,Switzerland
312,Challenge League,Switzerland
313,Premier League,Syria
315,TT Premier League,Trinidad and Tobago
316,Ligue 2,Tunisia
317,Ligue 1,Tunisia
318,2. Lig,Turkey
319,1. Lig,Turkey
320,Cup,Turkey
321,3. Lig,Turkey
323,Super Cup,Turkey
324,Persha Liga,Ukraine
326,Cup,Ukraine
327,Druha Liga,Ukraine
329,USL League Two,USA
330,USL Championship,USA
331,USL 2,USA
333,Liga AUF,Uruguay
334,Segunda División,Uruguay
335,Super League,Uzbekistan
336,Segunda División,Venezuela
337,Primera División,Venezuela
338,V.League 2,Vietnam
